,Converted book data,,,,,,,,,,,Values,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Conversion key:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Converted values,,,,,,,,,,,,,,,
,,,,,,,,,,,,,D,,L,A,,,,,,,,,,,,
,,,,,,,,,,,,Book code,(m),,(m),(#),,,,,,,,,,,,
570.0,570.0,3,1,1,1,,1,1,U,,,0.5,3.0,0.6,1.5,0.88,,,,,,,,,,,,
,,2,1,1,3,,1,1,U,,,0.2,3.0,0.1,1.5,0.14,,,,,,,,,,,,
,,1,2,2,2,,1,1,,,,0.1,7.5,0.0,2.5,0.06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580.0,580.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1,2,2,,,,L,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
590.0,590.0,2,3,1,2,,,,L,,,0.2,12.5,0.4,1.5,0.59,,,,,,,,,,,,
600.0,600.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
610.0,610.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,1,1,,,,L,,,0.5,3.0,0.6,1.5,0.88,,,,,,,,,,,,
620.0,620.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1,2,1,,,,L,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630.0,630.0,1,1,5,2,1,,,U,JI,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,2,2,5,2,,,,"L, U",JI,,0.2,7.5,0.2,15.0,3.53,,,,,,,,,,,,
,,2,1,5,2,1,,,U,JI,,0.2,3.0,0.1,15.0,1.41,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640.0,640.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650.0,650.0,2,3,3,2,,1,1,U,,,0.2,12.5,0.4,5.0,1.96,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660.0,660.0,1,1,5,1,,,,,JJ,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,2,1,3,2,,,,L,JJ,,0.2,3.0,0.1,5.0,0.47,,,,,,,,,,,,
,,2,1,4,2,,,,L,JJ,,0.2,3.0,0.1,9.5,0.90,,,,,,,,,,,,
,,2,3,1,2,,2,0.5,U,JJ,,0.2,12.5,0.4,1.5,0.59,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,843.0,1,2,5,2, ,,, ,JK,,0.1,7.5,0.0,15.0,0.35,,,,,,,,,,,,
,,2,1,5,2,,,,,JK,,0.2,3.0,0.1,15.0,1.41,,,,,,,,,,,,
,,1,1,5,2,,,,,JK,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,2,2,5,2,,,,,JK,,0.2,7.5,0.2,15.0,3.53,,,,,,,,,,,,
,,3,2,1,2,,,,,JK,,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,863.0,1,1,5,,,,,,JL,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,1,1,5,,,,,,,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,1,1,5,,,,,,,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,1,1,5,,,,,,,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,1,1,5,,,,,,,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,3,2,2,,,,,,JL,,0.5,7.5,1.5,2.5,3.68,,,,,,,,,,,,
,,3,3,3,,,,,,JL,,0.5,12.5,2.5,5.0,12.27,,,,,,,,,,,,
,,3,4,3,2,1,2,1,"U, L",JL,,0.5,17.5,3.4,5.0,17.18,,,,,,,,,,,,
,,2,4,3,,,,,,JL,,0.2,17.5,0.5,5.0,2.75,,,,,,,,,,,,
,,2,3,5,,,,,,JL,,0.2,12.5,0.4,15.0,5.89,,,,,,,,,,,,
,,2,2,5,,,,,,JL,,0.2,7.5,0.2,15.0,3.53,,,,,,,,,,,,
35.0,878.0,2,1,5,,,,,,JL,,0.2,3.0,0.1,15.0,1.41,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,903.0,3,2,2,2,,2,1,"U, L",,,0.5,7.5,1.5,2.5,3.68,,,,,,,,,,,,
,,2,3,2,2,,1,1,"U, L",,,0.2,12.5,0.4,2.5,0.98,,,,,,,,,,,,
,,2,1,2,2,,2,2,,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,923.0,2,1,3,1,,2,1,,,,0.2,3.0,0.1,5.0,0.47,,,,,,,,,,,,
,,1,1,3,2,,,,U,,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
,,2,2,3,2,,1,1,U,,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,,3,3,1,2,,2,1,U,,,0.5,12.5,2.5,1.5,3.68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,943.0,1,1,5,,,,,,JM,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,1,1,5,,,,,,,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,2,1,5,,,,,,,,0.2,3.0,0.1,15.0,1.41,,,,,,,,,,,,
,,2,1,5,,,,,,JM,,0.2,3.0,0.1,15.0,1.41,,,,,,,,,,,,
,,2,2,3,2,,1,1,,JM,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,,3,1,3,2,,2,1,,JM,,0.5,3.0,0.6,5.0,2.95,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,963.0,2,2,4,1,,,,L,,,0.2,7.5,0.2,9.5,2.24,,,,,,,,,,,,
,,2,1,3,2,,,,"U, L",,,0.2,3.0,0.1,5.0,0.47,,,,,,,,,,,,
,,3,3,3,2,1,1,3,"U, L",,,0.5,12.5,2.5,5.0,12.27,,,,,,,,,,,,
140.0,983.0,2,1,3,2,,1,1,,,,0.2,3.0,0.1,5.0,0.47,,,,,,,,,,,,
,,2,2,3,2,,1,1,,,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,,3,2,2,2,1,1,2,,,,0.5,7.5,1.5,2.5,3.68,,,,,,,,,,,,
160.0,1003.0,3,1,,,,,,,,,0.5,3.0,0.6,error,#VALUE!,,,,,,,,,,,,
,,2,2,3,,,,,,,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,,1,1,3,,,,,,,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.0,1023.0,1,2,3,1,,1,1,,JN,,0.1,7.5,0.0,5.0,0.12,,,,,,,,,,,,
,,3,1,2,3,,1,1,U,JN,,0.5,3.0,0.6,2.5,1.47,,,,,,,,,,,,
,,1,1,5,,,,,,JN,,0.1,3.0,0.0,15.0,0.14,,,,,,,,,,,,
,,2,3,3,3,1,2,2,,JN,,0.2,12.5,0.4,5.0,1.96,,,,,,,,,,,,
200.0,1043.0,2,2,3,,,1,1,"U, L",,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,,2,3,2,,,2,2,,,,0.2,12.5,0.4,2.5,0.98,,,,,,,,,,,,
,,3,3,3,, ,2,2,,,,0.5,12.5,2.5,5.0,12.27,,,,,,,,,,,,
220.0,1063.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1083.0,0,0,0,,,,,L,,,,,,,,,,,,,,,,,,,
,,2,1,2,1,,,,,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
20.0,1103.0,2,1,3,1,,,,L,,,0.2,3.0,0.1,5.0,0.47,,,,,,,,,,,,
,,2,4,1,3,,2,2,,,,0.2,17.5,0.5,1.5,0.82,,,,,,,,,,,,
40.0,1123.0,0,0,0,,,,,L,,,,,,,,,,,,,,,,,,,
,,2,1,2,1,,,,,,,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
