"","hd","tot_vol","jam","jam_pa","reach","med_dia","med_len"
"144",2503,1.98815477366265,"","no_jam",4,0.199451620275137,4.78960364405592
"145",2523,3.44565615881544,"","no_jam",4,0.0660556744890729,3.64222697823909
"146",2543,0,"","no_jam",4,NA,NA
"147",2563,0,"","no_jam",4,NA,NA
"148",2583,0,"","no_jam",4,NA,NA
"149",2603,2.17842830184061,"J2C","jam",4,0.229102419189236,5.43279033240031
"150",2623,4.78414798886735,"","no_jam",4,0.238007826156245,8.45019565316223
"151",2643,0,"","no_jam",4,NA,NA
"152",2663,0,"","no_jam",4,NA,NA
"153",2683,9.93761460049065,"JD","jam",4,0.0900011105912144,3.40787800451996
"154",2703,0.205141686681488,"","no_jam",4,0.204287531321296,3.08575062551665
"155",2723,0.874644276233971,"","no_jam",4,0.139168670015732,2.03582002043684
"156",2743,1.87720073566656,"J2E","jam",4,0.0673675710196037,6.17208180723917
"157",2763,0,"","no_jam",4,NA,NA
"158",2783,5.3801703856466,"","no_jam",4,0.681153383762631,14.7644172969787
"159",2803,2.65503332131175,"","no_jam",4,0.0940845500504148,11.232022912084
"160",2843,2.17899009904597,"","no_jam",4,0.0671622129019902,3.68648851479893
"161",2863,0,"","no_jam",4,NA,NA
"162",2883,7.32481040545938,"J2F","jam",4,0.10312996123882,4.00524983510999
"163",2903,3.36144051216629,"","no_jam",4,0.216127262632389,2.56854696112244
"164",2943,0.445340004252314,"","no_jam",4,0.253353200457099,8.83383001086772
"165",2963,1.06865010712956,"","no_jam",4,0.27029183948501,9.25729598676874
"166",2983,0,"","no_jam",4,NA,NA
"167",3003,1.0201571204399,"","no_jam",4,0.255913924168487,3.31783074237886
"168",3023,0,"","no_jam",4,NA,NA
"169",3043,0,"","no_jam",4,NA,NA
"170",3366,12.505015142879,"J2H","jam",4,0.256886583099278,18.1470668147456
"171",3386,0.0958678139073057,"","no_jam",4,0.0648549717154696,3.59419886724813
"172",3406,2.54299542681634,"","no_jam",4,0.245754325649816,13.6438581405944
"173",3426,1.48490103635439,"","no_jam",4,0.211388625342001,7.78471563248669
"174",3446,1.76413615242111,"","no_jam",4,0.230438643053496,3.60877286040908
"175",3466,5.08282031680707,"","no_jam",4,0.239407674486311,13.4851918614307
"176",3486,3.0899450050523,"","no_jam",4,0.230188190552853,7.98061674930469
"177",3506,0.817031732866949,"","no_jam",4,0.206067691743774,3.12135383398312
"178",3526,4.58356970019086,"","no_jam",4,0.186633781586646,12.1043745580243
"179",3546,2.61893672411491,"","no_jam",4,0.231560969014413,8.28902422453905
"180",3566,0.0351725570212546,"","no_jam",4,0.0537753381762964,7.68876690654981
"181",3586,0.32085611692371,"","no_jam",4,0.190987732455624,2.81975464807686
"182",3606,1.14387183411354,"","no_jam",4,0.256873205791371,4.13746411541771
"183",3626,0.0634990412616335,"","no_jam",4,0.177830536771183,2.55661073426305
"184",3646,0,"","no_jam",4,NA,NA
"185",3666,2.03665542195236,"J2I","jam",4,0.180248374528523,3.65325799727454
"186",3686,0,"","no_jam",4,NA,NA
"187",3706,0.101088640423223,"","no_jam",4,0.0853650610574653,4.41460244172785
"188",3726,0,"","no_jam",4,NA,NA
"189",3746,1.35380943625878,"","no_jam",4,0.179193651131221,11.9798412768309
"190",3766,0.338384002286456,"","no_jam",4,0.202584755748789,3.05169511405034
"191",3786,0,"","no_jam",4,NA,NA
"192",3806,0,"","no_jam",4,NA,NA
"193",3826,0,"","no_jam",4,NA,NA
"194",3846,0.470233611808435,"","no_jam",4,0.169788324944588,4.73201747332438
"195",3866,1.73067489653975,"","no_jam",4,0.206214582827269,12.6553645695563
"196",3886,0,"","no_jam",4,NA,NA
"197",3906,0,"","no_jam",4,NA,NA
"198",3926,0.592765574640238,"","no_jam",4,0.20334172449251,3.06683448893194
"199",3946,0,"","no_jam",4,NA,NA
"200",3966,1.29511390885913,"","no_jam",4,0.623786096759567,4.23786096742419
"201",3986,3.01483709413738,"","no_jam",4,0.182501602371299,2.65003204630975
"202",4006,7.30185049231802,"J2J","jam",4,0.161368130263339,3.39690299429282
"203",4046,0.368764610977694,"","no_jam",4,0.225331341046921,3.50662682022908
"204",4066,0.978152372812104,"","no_jam",4,0.248993650802769,3.97987301557081
"205",4086,0.275427036408005,"","no_jam",4,0.219184210960183,3.38368421843591
"206",4106,0.464723106063856,"","no_jam",4,0.167950312300486,2.35900624475525
"207",4126,0,"","no_jam",4,NA,NA
"208",4146,2.07839442160646,"J2K","jam",5,0.0685940768185275,3.04312556847234
"209",4166,0.651962172482906,"","no_jam",5,0.291300413296251,9.78251033230188
"210",4186,0.0960186978695985,"","no_jam",5,0.201120482388032,3.02240964682129
"211",4206,0,"","no_jam",5,NA,NA
"212",4226,5.81252071968035,"J2L","jam",5,0.183389130712119,4.03675850390071
"213",4246,0.183944304625903,"","no_jam",5,0.176103892821368,2.52207785525035
"214",4266,0.377747246655146,"","no_jam",5,0.252969846385763,1.98085092853852
"215",4286,0,"","no_jam",5,NA,NA
"216",4306,0,"","no_jam",5,NA,NA
"217",4326,0.0613423096097982,"","no_jam",5,0.0353265275428469,2.41306109919161
"218",4346,1.55545669021845,"","no_jam",5,0.0792757482009497,4.17102992722974
"219",4366,0,"","no_jam",5,NA,NA
"220",4386,0.0529290954696076,"","no_jam",5,0.168574447017683,2.37148893910512
"221",4406,0,"","no_jam",5,NA,NA
"222",4426,0.0608044473618704,"","no_jam",5,0.0568165695377326,3.27266277982515
"223",4446,0,"","no_jam",5,NA,NA
"224",4466,0,"","no_jam",5,NA,NA
"225",4486,0,"","no_jam",5,NA,NA
"226",4506,0.114485805271052,"","no_jam",5,0.152085266988176,6.30213167292943
"227",4526,0,"","no_jam",5,NA,NA
"228",4546,0.0297496236975841,"","no_jam",5,0.0703801665867717,3.81520666231569
"229",4566,0,"","no_jam",5,NA,NA
"230",4586,0.179846964867117,"","no_jam",5,0.243345934739724,3.86691869425626
"231",4606,0,"","no_jam",5,NA,NA
"232",4626,0,"","no_jam",5,NA,NA
"233",4646,0.0108060546772183,"","no_jam",5,0.0437518932720608,7.18759466084689
"234",4666,0.00297024647925402,"","no_jam",5,0.0130930221577321,10.6546511036282
"235",4686,0.160941464038581,"","no_jam",5,0.126039798643044,2.85763154184214
"236",4706,0.0383462965918249,"","no_jam",5,0.0415558458890337,7.07779229158792
"237",4726,0.0659215579524133,"","no_jam",5,0.0938118584748772,4.75247433875375
"238",4746,0,"","no_jam",5,NA,NA
"239",10014,0.0241152296881286,NA,NA,8,0.0839411322188034,4.35764528812584
"240",10034,0,NA,NA,8,NA,NA
"241",10054,0,NA,NA,8,NA,NA
"242",10094,0.0212803729496577,NA,NA,8,0.0802310838794585,4.20924335440735
"243",10114,0.151662472289967,NA,NA,8,0.0445989133412824,7.22994566434947
"244",10134,0,NA,NA,8,NA,NA
"245",10154,2.36946770272341,NA,NA,8,0.200460516850874,7.51151292007737
"246",10174,0,NA,NA,8,NA,NA
"247",10194,2.03141357996573,NA,NA,8,0.559944987425204,8.2493123424124
"248",10214,0.241716532204341,NA,NA,8,0.214365762305422,3.28731524529492
"249",10234,0,NA,NA,8,NA,NA
"250",10254,5.54403938160811,NA,NA,8,0.217381382285948,3.2156567988432
"251",10294,0,NA,NA,8,NA,NA
